annotCls,ecg,anomalyScore,multiStepBestPredictions.1
0,931,1.0,None
0,935,1.0,931.0
0,935,1.0,939.0
0,939,0.0,939.0
0,943,0.0,941.8
0,947,0.0,945.8
0,948,0.0,951.0
0,951,0.0,952.0
0,949,0.0,955.0
0,951,0.0,953.0
0,951,0.0,955.0
0,952,0.0,955.0
0,949,0.0,953.89
0,948,0.0,950.89
0,947,0.0,949.89
0,950,0.0,948.89
0,952,0.0,951.89
0,952,0.0,954.223
0,951,0.0,954.223
0,947,0.0,953.223
0,947,0.0,948.2561
0,946,0.0,948.2561
0,947,0.0,947.2561
0,950,0.0,948.2561
0,949,0.0,949.8492
0,946,0.0,950.77927
0,944,0.0,947.77927
0,946,0.0,945.77927
0,948,0.0,947.77927
0,947,0.0,949.77927
0,949,0.0,948.77927
0,949,0.0,950.77927
0,949,0.0,950.77927
0,949,0.0,949.046108
0,954,0.0,949.046108
0,953,0.0,955.77927
0,950,0.0,954.77927
0,947,0.0,951.77927
0,945,0.0,947.345489
0,946,0.0,944.1322756
0,947,0.0,946.345489
0,946,0.0,947.345489
0,945,0.0,945.69259292
0,944,0.0,944.69259292
0,942,0.0,943.69259292
0,945,0.0,941.69259292
0,945,0.0,945.345489
0,947,0.0,944.69259292
0,944,0.0,946.69259292
0,943,0.0,944.384815044
0,942,0.0,943.384815044
0,942,1.0,942.345489
0,944,1.0,942.0
0,944,1.0,946.0
0,943,1.0,944.0
0,936,1.0,942.0
0,933,1.0,929.0
0,936,1.0,930.0
0,939,1.0,939.0
0,942,1.0,942.0
0,941,1.0,945.0
0,937,1.0,940.0
0,934,1.0,933.0
0,938,1.0,934.4725037
0,940,1.0,938.4725037
0,939,1.0,940.4725037
0,939,0.3,939.4725037
0,938,0.0,939.4725037
0,936,0.0,939.407
0,941,0.175,936.6849
0,942,0.0,941.6849
0,941,0.0,942.6849
0,936,0.2,941.6849
0,933,0.1,936.6849
0,932,0.0,933.6849
0,934,0.025,932.6849
0,935,0.0,934.6849
0,936,0.0,935.6849
0,938,0.0,936.6849
0,940,0.0,938.6849
0,940,0.0,941.07943
0,941,0.0,941.07943
0,943,0.0,942.07943
0,946,0.0,944.07943
0,946,0.0,947.07943
0,945,0.0,947.07943
0,948,0.0,946.07943
0,951,0.0,949.07943
0,951,0.0,952.07943
0,954,0.0,952.07943
0,950,0.05,955.07943
0,950,0.0,947.584
0,955,0.0,951.07943
0,957,0.0,956.041526813
0,961,0.0,958.07943
0,964,0.0,962.041526813
0,964,0.0,965.07943
0,961,0.025,965.07943
0,958,0.025,960.32928961
0,958,0.0,957.32928961
0,959,0.0,959.07943
0,959,0.0,960.07943
0,958,0.0,960.07943
0,955,0.0,959.07943
0,956,0.0,954.945
0,958,0.0,957.07943
0,956,0.0,959.07943
0,956,0.0,956.5615
0,955,0.0,956.5615
0,960,0.0,956.07943
0,963,0.0,961.041526813
0,965,0.0,964.07943
0,962,0.0,966.07943
0,954,0.1,962.5615
0,951,0.0,953.842
0,948,0.0,952.07943
0,945,0.0,946.664
0,945,0.0,943.664
0,943,0.0,945.5615
0,942,0.0,942.306501635
0,938,0.0,941.306501635
0,937,0.0,938.5615
0,935,0.0,936.555601
0,936,0.0,934.555601
0,935,0.0,935.555601
0,937,0.0,934.555601
0,937,0.0,935.787312
0,933,0.0,935.787312
0,930,0.0,933.5615
0,932,0.0,928.787312
0,934,0.0,930.787312
0,936,0.0,932.787312
0,932,0.0,934.787312
0,932,0.0,932.5615
0,930,0.0,931.7511184
0,932,0.0,929.7511184
0,931,0.0,931.7511184
0,934,0.0,930.7511184
0,933,0.0,934.429068769
0,933,0.0,932.7511184
0,930,0.0,932.7511184
0,932,0.0,929.7511184
0,935,0.0,931.7511184
0,933,0.0,935.429068769
0,924,0.0,933.72578288
0,916,0.075,923.85313
0,910,0.0,914.8034642
0,908,0.0,909.32928961
0,902,0.0,908.72578288
0,897,0.0,901.32928961
0,902,0.0,897.379073
0,917,0.4,900.8034642
0,942,0.825,917.429068769
0,969,0.6,942.429068769
0,991,0.0,976.800348138
0,1014,0.025,998.800348138
0,1035,0.025,1021.80034814
0,1063,0.0,1042.80034814
0,1098,0.025,1070.80034814
0,1137,0.075,1105.80034814
0,1165,0.05,1144.80034814
0,1187,0.0,1172.80034814
0,1207,0.0,1215.0
0,1213,0.025,1235.0
0,1199,0.0,1220.80034814
0,1139,0.0,1198.85313
0,1058,0.0,1137.8034642
0,978,0.0,1056.8034642
0,922,0.25,976.8034642
0,902,0.15,929.800348138
0,900,0.225,890.660243697
0,908,0.125,888.660243697
0,918,0.0,896.660243697
0,924,0.0,920.4
0,925,0.0,926.6889207
0,924,0.0,927.6889207
0,921,0.0,926.6889207
0,925,0.0,921.596371
0,926,0.0,925.596371
0,929,0.0,927.070185801
0,926,0.0,930.070185801
0,923,0.0,927.070185801
0,923,0.0,922.711094092
0,922,0.0,922.5174597
0,924,0.0,921.66222179
0,925,0.0,923.66222179
0,925,0.0,925.363555253
0,922,0.0,925.363555253
0,923,0.0,922.363555253
0,923,0.0,923.363555253
0,926,0.0,923.554488677
0,923,0.0,926.388142074
0,922,0.0,923.388142074
0,921,0.0,921.371699452
0,921,0.0,920.371699452
0,920,0.0,920.371699452
0,923,0.0,919.371699452
0,924,0.0,922.371699452
0,923,0.0,924.460189616
0,922,0.0,923.622132731
0,921,0.0,922.135492912
0,924,0.0,921.135492912
0,922,0.0,924.135492912
0,925,0.0,922.994845038
0,923,0.0,925.994845038
0,919,0.0,923.994845038
0,918,0.0,919.096391527
0,922,0.0,918.096391527
0,922,0.0,922.096391527
0,923,0.0,922.096391527
0,924,0.0,923.096391527
0,919,0.0,924.367474069
0,922,0.0,919.557231848
0,919,0.0,922.557231848
0,922,0.0,919.557231848
0,923,0.0,922.557231848
0,922,0.0,923.557231848
0,922,0.0,922.690062294
0,920,0.0,922.690062294
0,923,0.0,920.690062294
0,925,0.0,923.690062294
0,925,0.0,926.383043606
0,925,0.0,926.383043606
0,922,0.0,926.383043606
0,918,0.0,923.383043606
0,922,0.0,919.383043606
0,923,0.0,923.383043606
0,923,0.0,924.383043606
0,920,0.0,924.268130524
0,919,0.0,920.887691367
0,919,0.0,919.887691367
0,919,0.0,919.887691367
0,921,0.0,919.887691367
0,923,0.0,921.887691367
0,923,0.0,923.887691367
0,919,0.0,924.221383957
0,918,0.0,919.85496877
0,919,0.0,918.85496877
0,919,0.0,919.85496877
0,919,0.0,919.85496877
0,918,0.0,919.85496877
0,916,0.0,918.85496877
0,914,0.0,916.85496877
0,915,0.0,914.85496877
0,918,0.0,915.85496877
0,919,0.0,918.85496877
0,918,0.0,919.85496877
0,916,0.0,918.85496877
0,912,0.0,916.85496877
0,911,0.0,912.85496877
0,912,0.0,911.85496877
0,914,0.0,912.85496877
0,913,0.0,914.85496877
0,911,0.0,913.85496877
0,910,0.0,911.85496877
0,912,0.0,910.85496877
0,916,0.0,912.85496877
0,918,0.0,916.85496877
0,916,0.0,918.85496877
0,919,0.0,916.85496877
0,920,0.0,919.85496877
0,926,0.0,920.85496877
0,929,0.0,926.85496877
0,932,0.0,929.85496877
0,933,0.0,932.85496877
