annotCls,ecg,anomalyScore,multiStepBestPredictions.1
0,980,1.0,None
0,980,1.0,980.0
0,984,1.0,980.0
0,984,0.0,984.0
0,984,0.0,988.0
0,981,0.0,986.8
0,980,0.0,982.96
0,984,0.0,981.96
0,984,0.0,985.96
0,984,0.0,986.572
0,982,0.0,985.8004
0,980,0.0,983.26028
0,983,0.0,981.26028
0,983,0.0,984.26028
0,984,0.0,984.26028
0,986,0.0,985.26028
0,983,0.0,987.182196
0,980,0.0,984.182196
0,980,0.0,981.182196
0,978,0.0,981.182196
0,981,0.0,979.182196
0,979,0.0,982.182196
0,980,0.0,980.182196
0,979,0.0,981.182196
0,976,0.0,980.182196
0,978,0.0,977.182196
0,979,0.0,979.182196
0,981,0.0,980.182196
0,978,0.0,982.182196
0,976,0.0,979.182196
0,974,0.0,977.182196
0,977,0.0,975.182196
0,975,0.0,978.182196
0,976,0.0,976.182196
0,973,0.0,977.182196
0,973,0.0,974.182196
0,975,0.0,974.182196
0,976,0.0,976.182196
0,977,0.0,977.182196
0,977,0.0,978.182196
0,976,0.0,978.182196
0,975,0.0,977.182196
0,974,0.0,976.182196
0,976,0.0,975.182196
0,976,0.0,977.182196
0,974,0.0,977.182196
0,972,0.0,975.182196
0,974,0.0,973.182196
0,970,0.025,975.182196
0,972,0.025,971.182196
0,973,0.0,973.182196
0,974,1.0,974.182196
0,971,1.0,975.0
0,971,1.0,968.0
0,971,1.0,971.0
0,970,1.0,971.0
0,971,1.0,969.0
0,971,1.0,972.0
0,969,1.0,971.0
0,968,1.0,967.0
0,968,1.0,967.0
0,971,1.0,968.0
0,973,1.0,974.0
0,973,1.0,975.0
0,972,1.0,973.0
0,970,1.0,971.0
0,970,1.0,968.0
0,971,1.0,970.0
0,974,1.0,972.0
0,973,1.0,977.0
0,975,1.0,972.0
0,972,1.0,977.0
0,974,1.0,969.0
0,973,1.0,976.0
0,975,1.0,972.0
0,974,1.0,977.0
0,974,1.0,973.0
0,972,1.0,974.0
0,972,1.0,970.0
0,969,1.0,972.0
0,975,1.0,966.0
0,974,1.0,981.0
0,973,1.0,973.0
0,972,1.0,972.0
0,971,1.0,971.0
0,973,1.0,970.0
0,974,1.0,975.0
0,973,1.0,975.0
0,973,1.0,972.0
0,971,1.0,973.0
0,973,1.0,969.0
0,976,1.0,975.0
0,979,1.0,979.0
0,980,1.0,982.0
0,979,1.0,981.0
0,982,1.0,978.0
0,983,1.0,985.0
0,987,1.0,984.0
0,987,1.0,991.0
0,989,1.0,987.0
0,989,1.0,991.0
0,989,1.0,989.0
0,991,0.575,988.278453798
0,994,1.0,990.278453798
0,997,0.875,993.278453798
0,997,0.15,996.278453798
0,995,0.0,1000.0
0,994,0.0,997.1
0,992,0.0,996.1
0,993,0.0,994.1
0,991,0.025,995.1
0,989,0.05,993.1
0,989,0.025,988.96
0,987,0.05,988.96
0,988,0.0,986.96
0,988,0.0,987.96
0,990,0.0,987.96
0,994,0.0,989.96
0,992,0.0,993.96
0,988,0.0,994.46
0,985,0.075,987.372
0,986,0.0,984.372
0,990,0.0,985.372
0,994,0.0,989.372
0,994,0.0,993.372
0,991,0.0,993.372
0,984,0.175,993.0454
